"GRID.STA","LON","LAT"
"gd101",-164.9068,54.16076
"gd103",-164.7105,54.28172
"gf101",-164.6606,54.04598
"gf103",-164.4648,54.16693
"gf105",-164.2684,54.28789
"gf107",-164.0715,54.40885
"gf109",-163.874,54.5298
"gh103",-164.2199,54.05215
"gh105",-164.0241,54.17311
"gh107",-163.8277,54.29406
"gh109",-163.6307,54.41502
"gh111",-163.4332,54.53598
"gj105",-163.7806,54.05832
"gj107",-163.5848,54.17928
"gj109",-163.3884,54.30024
"gj111",-163.1914,54.42119
"gj113",-162.9938,54.54215
"gj115",-162.7957,54.66311
"gj117",-162.5969,54.78406
"gl107",-163.3427,54.0645
"gl109",-163.1468,54.18545
"gl111",-162.9504,54.30641
"gl115",-162.5558,54.54832
"gl121",-161.9594,54.91119
"gl123",-161.7594,55.03215
"gl125",-161.5588,55.1531
"gl127",-161.3576,55.27406
"gn109",-162.9061,54.07067
"gn111",-162.7102,54.19162
"gn113",-162.5137,54.31258
"gn115",-162.3167,54.43354
"gn117",-162.119,54.55449
"gn119",-161.9208,54.67545
"gn121",-161.722,54.79641
"gn123",-161.5226,54.91736
"gn125",-161.3226,55.03832
"gn127",-161.1219,55.15928
"gn129",-160.9207,55.28023
"gp111",-162.4781761,54.10065285
"gp113",-162.3098864,54.19394021
"gp115",-162.0986778,54.30297701
"gp117",-161.8877804,54.436275
"gp119",-161.7085865,54.56834155
"gp121",-161.4935538,54.68484478
"gp123",-161.2865,54.80258
"gp125",-161.0871,54.92353
"gp127",-160.887,55.04449
"gp135",-160.0808,55.52832
"gp137",-159.8777,55.64927
"gr113",-162.0369,54.08301
"gr115",-161.8409,54.20397
"gr117",-161.6444,54.32492
"gr119",-161.4473,54.44588
"gr121",-161.2496,54.56684
"gr123",-161.0513,54.68779
"gr125",-160.8524,54.80875
"gr127",-160.6529,54.92971
"gr129",-160.4529,55.05066
"gr131",-160.2522,55.17162
"gr135",-159.849,55.41353
"gr141",-159.2395,55.7764
"gr151",-158.2111,56.38118
"gt115",-161.6043,54.08918
"gt117",-161.4083,54.21014
"gt119",-161.2117,54.3311
"gt121",-161.0146,54.45205
"gt123",-160.8168,54.57301
"gt125",-160.6185,54.69397
